city,idx,name,img,w,h,ratio,bytes,page,credit,reason
denpasar,1,Puputan Badung Square,images/landmarks/denpasar-puputan-badung-square.webp,720,1600,0.45,107774,https://commons.wikimedia.org/wiki/File:Monumen_Puputan_Badung.jpg,,low-res+extreme-portrait
hua-hin,2,Wat Huay Mongkol,images/landmarks/hua-hin-wat-huay-mongkol.webp,640,1386,0.462,100698,https://commons.wikimedia.org/wiki/File:Wat_Huay_Mongkol_Giant_statue_of_famous_monk.jpg,,low-res+extreme-portrait
pattaya-chonburi,7,Art in Paradise Pattaya,images/landmarks/pattaya-chonburi-art-in-paradise-pattaya.webp,754,1600,0.471,69896,"https://commons.wikimedia.org/wiki/File:Art_In_Paradise,_Pattaya,_Thailand.png",,low-res+extreme-portrait
zaragoza,6,Goya Museum,images/landmarks/zaragoza-goya-museum.webp,775,1600,0.484,141434,https://commons.wikimedia.org/wiki/File:Casa_de_los_Pardo-Museo_Camon_Aznar.jpg,,low-res+extreme-portrait
cork,1,St. Fin Barre's Cathedral,images/landmarks/cork-st-fin-barre-s-cathedral.webp,827,1600,0.517,214468,https://commons.wikimedia.org/wiki/File:02_St_Fin_Barre%27s_Cathedral_Facade.jpg,,extreme-portrait
stuttgart,4,Stiftskirche (Stuttgart Collegiate Church),images/landmarks/stuttgart-stiftskirche.webp,834,1600,0.521,104236,https://commons.wikimedia.org/wiki/File:Stiftskirche_Stuttgart_2010.jpg,,extreme-portrait
bonn,1,Bonn Minster (Bonner Münster),images/landmarks/bonn-bonn-minster.webp,750,1371,0.547,100374,https://en.wikipedia.org/wiki/Bonn_Minster,,low-res+extreme-portrait
puerto-plata,0,Teleférico de Puerto Plata,images/landmarks/plata-teleferico.webp,540,960,0.562,146330,https://commons.wikimedia.org/wiki/File:Telef%C3%A9rico_Puerto_Plata.jpg,Ronny Medina / CC BY 4.0,low-res+extreme-portrait
puerto-plata,1,Pico Isabel de Torres and Christ the Redeemer,images/landmarks/plata-pico-isabel-cristo.webp,540,960,0.562,18652,"https://commons.wikimedia.org/wiki/File:Cristo_Redentor_P._Plata,_DR.jpg",,low-res+extreme-portrait+small-file
bamako,8,Muso Kunda Museum,images/landmarks/bamako-muso-kunda-museum.webp,607,1080,0.562,57734,https://en.wikipedia.org/wiki/Muso_Kunda_Museum_of_Women,,low-res+extreme-portrait
bishkek,5,Panfilov Park,images/landmarks/bishkek-panfilov-park.webp,899,1600,0.562,337766,https://en.wikipedia.org/wiki/Panfilov_Park_(Bishkek),,extreme-portrait
manaus,7,Museu da Amazônia (MUSA),images/landmarks/manaus-museu-da-amazonia-musa.webp,900,1600,0.562,541472,https://commons.wikimedia.org/wiki/File:Visita_ao_Museu_da_Amaz%C3%B4nia_(MUSA)_(54146161452).jpg,,extreme-portrait
shanghai,4,Jin Mao Tower,images/landmarks/shanghai-jin-mao-tower.webp,1200,2131,0.563,320400,https://commons.wikimedia.org/wiki/File:20090426_5223_Shanghai_Jin_Mao_Tower.jpg,Jakub Hałun / CC BY-SA 4.0,extreme-portrait
kermanshah,8,Dowlatshah Mosque,images/landmarks/kermanshah-dowlatshah-mosque.webp,702,1189,0.59,162958,https://en.wikipedia.org/wiki/Mohammad-Ali%20Mirza%20Dowlatshah,,low-res+extreme-portrait
yokohama,0,Yokohama Landmark Tower,images/landmarks/yokohama-landmark-tower.webp,909,1514,0.6,128900,https://commons.wikimedia.org/wiki/File:Yokohama_Landmark_Tower_02_cropped.jpg,,tall-portrait
rouen,1,Gros-Horloge,images/landmarks/rouen-gros-horloge.webp,960,1600,0.6,295750,"https://commons.wikimedia.org/wiki/File:Gros-Horloge,_Rouen,_West_View_140215_2.jpg",,tall-portrait
ulm,3,Schiefes Haus (Crooked House),images/landmarks/ulm-schiefes-haus.webp,960,1600,0.6,256292,https://commons.wikimedia.org/wiki/File:Ulm_Schiefes_Haus_01.jpg,,tall-portrait
paris,0,Eiffel Tower,images/landmarks/paris-eiffel-tower.webp,961,1600,0.601,138636,https://commons.wikimedia.org/wiki/File:Tour_Eiffel_Wikimedia_Commons_(cropped).jpg,,tall-portrait
phitsanulok,1,Wat Ratchaburana,images/landmarks/phitsanulok-wat-ratchaburana.webp,962,1600,0.601,160778,"https://commons.wikimedia.org/wiki/File:Wat_Ratchaburana,_Phitsanulok.jpg",,tall-portrait
bristol,3,St Mary Redcliffe Church,images/landmarks/bristol-st-mary-redcliffe-church.webp,964,1600,0.603,187486,https://en.wikipedia.org/wiki/St_Mary_Redcliffe,,tall-portrait
nelson,0,Christ Church Cathedral,images/landmarks/nelson-christ-church-cathedral.webp,965,1600,0.603,215624,"https://commons.wikimedia.org/wiki/File:Christ_Church_Cathedral,_Nelson,_South_Island,_New_Zealand_05.jpg",,tall-portrait
timbuktu,0,Djinguereber Mosque,images/landmarks/timbuktu-djinguereber-mosque.webp,965,1600,0.603,305442,"https://commons.wikimedia.org/wiki/File:Djinguereber_Mosque,_Timbuktu,_Mali.jpg",,tall-portrait
saint-john-s,1,Redcliffe Quay,images/landmarks/saint-john-s-redcliffe-quay.webp,1200,1991,0.603,278352,https://en.wikipedia.org/wiki/St_Mary_Redcliffe,,tall-portrait
gdansk,9,Oliwa Cathedral,images/landmarks/gdansk-oliwa-cathedral.webp,971,1600,0.607,230216,https://commons.wikimedia.org/wiki/File:Oliwa_Cathedral_Gda%C5%84sk.jpg,,tall-portrait
oxford,6,University Church of St Mary the Virgin,images/landmarks/oxford-university-church-st-mary.webp,971,1600,0.607,274196,"https://commons.wikimedia.org/wiki/File:Tower_of_University_Church_of_St_Mary_the_Virgin,_Oxford.jpg",,tall-portrait
liberia,7,Africa Mia,images/landmarks/liberia-africa-mia.webp,500,822,0.608,64924,https://commons.wikimedia.org/wiki/File:African_Repository_(IA_africanreposito4311amer_1).pdf,,low-res+tall-portrait
san-marino,9,Porta San Francesco,images/landmarks/san-marino-porta-san-francesco.webp,972,1600,0.608,211430,https://commons.wikimedia.org/wiki/File:Porta_San_Francesco_(San_Marino).jpg,,tall-portrait
tabriz,0,Tabriz Grand Bazaar,images/landmarks/tabriz-tabriz-grand-bazaar.webp,973,1600,0.608,385794,https://commons.wikimedia.org/wiki/File:Tabriz_grand_bazaar-interior_view.jpg,,tall-portrait
hobart,9,St David's Cathedral,images/landmarks/hobart-st-david-s-cathedral.webp,977,1600,0.611,201564,https://en.wikipedia.org/wiki/St%20David's%20Cathedral%2C%20Hobart,,tall-portrait
ostrava,2,New City Hall Viewing Tower,images/landmarks/ostrava-new-city-hall-viewing-tower.webp,978,1600,0.611,133238,"https://commons.wikimedia.org/wiki/File:2014_Ostrawa,_Nowy_Ratusz_10.jpg",,tall-portrait
cologne,0,Cologne Cathedral (Kölner Dom),images/landmarks/cologne-cologne-cathedral.webp,985,1600,0.616,311520,https://commons.wikimedia.org/wiki/File:K%C3%B6lner_Dom_-_Westfassade_2022_ohne_Ger%C3%BCst-0968_b.jpg,,tall-portrait
matera,3,Palombaro Lungo,images/landmarks/matera-palombaro-lungo.webp,985,1600,0.616,219578,https://commons.wikimedia.org/wiki/File:%22Palombaro_Lungo%22_ist_die_gr%C3%B6%C3%9Fte_Zisterne_Materas._02.jpg,,tall-portrait
montreal,6,Saint Joseph's Oratory,images/landmarks/montreal-saint-josephs-oratory.webp,985,1600,0.616,258190,https://commons.wikimedia.org/wiki/File:Beside_the_Tombeau_du_frere_Andree.jpg,,tall-portrait
melbourne,4,St Paul's Cathedral,images/landmarks/melbourne-st-pauls-cathedral.webp,986,1600,0.616,160496,https://commons.wikimedia.org/wiki/File:St._Paul's_Cathedral_Tower.jpg,,tall-portrait
nuremberg,5,Memorium Nuremberg Trials (Courtroom 600),images/landmarks/nuremberg-memorium-trials.webp,986,1600,0.616,356396,https://commons.wikimedia.org/wiki/File:Memorium_Nürnberger_Prozesse_-_Blick_in_den_Saal_600.jpg,,tall-portrait
kumasi,6,Rattray Park,images/landmarks/kumasi-rattray-park.webp,803,1302,0.617,81794,https://en.wikipedia.org/wiki/Robert_Sutherland_Rattray,,tall-portrait
belgrade,9,Knez Mihailova Street,images/landmarks/belgrade-knez-mihailova-street.webp,989,1600,0.618,289198,https://en.wikipedia.org/wiki/Knez_Mihailova_Street,,tall-portrait
frankfurt-am-main,2,Frankfurt Cathedral (Kaiserdom St. Bartholomäus),images/landmarks/frankfurt-am-main-cathedral.webp,989,1600,0.618,118030,https://commons.wikimedia.org/wiki/File:Kaiserdom_St._Bartholom%C3%A4us_-_Frankfurt_-_Germany_-_04.jpg,,tall-portrait
tampere,3,Näsinneula Tower,images/landmarks/tampere-nasinneula-tower.webp,989,1600,0.618,55278,https://commons.wikimedia.org/wiki/File:N%C3%A4sinneula_2020.jpg,,tall-portrait
