country,city,landmark,names_country,slug,idx,img,page,credit
Anguilla,The Valley,Crocus Hill,turkey,the-valley,9,images/landmarks/the-valley-crocus-hill.webp,"https://commons.wikimedia.org/wiki/File:Crocus_graveolens,_%C3%87ukurova_University_Campus,_Adana,_Turkey_-_20060108.jpg",Zcebeci (Dr. Zeynel Cebeci) / CC BY-SA 3.0
Argentina,Mendoza,Plaza España,spain,mendoza,5,images/landmarks/mendoza-plaza-espana.webp,https://commons.wikimedia.org/wiki/File:Plaza_españa_mendoza.jpg,Beatrice Louise Murch from United States of America / CC BY-SA 2.0
Brazil,Cuiabá,Centro Geodésico da América do Sul,united states,cuiaba,2,images/landmarks/cuiaba-centro-geodesico-america-do-sul.webp,https://commons.wikimedia.org/wiki/File:Marco_Geodesico_da_America_do_Sul_-_Cuiab%C3%A1_-_20240922120922.jpg,Rosenbergmesquita / CC BY-SA 4.0
Cabo Verde,Praia,Sé Catedral Ruins,cape verde,praia,2,images/landmarks/praia-se-catedral-ruins.webp,"https://commons.wikimedia.org/wiki/File:S%C3%A9_Catedral,_Cidade_Velha,_Cape_Verde.jpg",Xandu / Public domain
Chile,Puerto Natales,Museo Histórico Municipal,puerto rico,puerto-natales,6,images/landmarks/puerto-natales-museo-historico-municipal.webp,"https://commons.wikimedia.org/wiki/File:Ponce_Municipal_Library,_Bulevar_Miguel_Pou,_Barrio_San_Anton,_Ponce,_Puerto_Rico,_looking_southwest_(IMG_3809).jpg",Roca Ruiz / CC BY-SA 2.0
Colombia,Leticia,Flor Lagoon,brazil,leticia,6,images/landmarks/leticia-flor-lagoon.webp,"https://commons.wikimedia.org/wiki/File:Morro_da_Cruz,_Florian%C3%B3polis_-_SC,_Brazil_-_panoramio_(cropped).jpg",oscar fava / CC BY 3.0
Greece,Corfu,Palace of St. Michael and St. George (Museum of Asian Art),palau,corfu,8,images/landmarks/corfu-palace-of-st-michael-and-st-george.webp,"https://commons.wikimedia.org/wiki/File:Palau_de_sant_Miquel_i_sant_Jordi_-_Palaia_Anaktora,_Corf%C3%BA.JPG",Joanbanjo / CC BY-SA 3.0
Ireland,Cork,The English Market,united kingdom,cork,0,images/landmarks/cork-the-english-market.webp,https://commons.wikimedia.org/wiki/File:Princes_Street_Indoor_Market_-_geograph.org.uk_-_595328.jpg,Andy Beecroft / CC BY-SA 2.0
Italy,Venice,Santa Maria della Salute,monaco,venice,8,images/landmarks/venice-santa-maria-della-salute.webp,https://commons.wikimedia.org/wiki/File:Santa_Maria_della_Salute_from_Hotel_Monaco.jpg,Wolfgang Moroder / CC BY-SA 3.0
Paraguay,Encarnación,Costanera de Encarnación and Playa San José,argentina,encarnacion,2,images/landmarks/encarnacion-costanera-de-encarnacion-and-playa-san-jose.webp,"https://commons.wikimedia.org/wiki/File:Playa_San_Jos%C3%A9_-_Avenida_Costanera_(Encarnaci%C3%B3n)_con_vista_al_fondo_a_Posadas_(Provincia_de_Misiones,_Argentina).jpg",Horacio Cambeiro / CC BY-SA 4.0
Solomon Islands,Honiara,Point Cruz,japan,honiara,3,images/landmarks/honiara-point-cruz.webp,"https://commons.wikimedia.org/wiki/File:Battle_of_Guadalcanal_Japanese_Plaque_on_cenotaph_at_Central_Police_Station,_Point_Cruz_Honiara._1993_Honiara_Association_Fukuoka_Japan.jpg",Phenss / CC BY-SA 4.0
Sudan,Port Sudan,Red Sea Museum,israel,port-sudan,7,images/landmarks/port-sudan-red-sea-museum.webp,https://commons.wikimedia.org/wiki/File:2023_Israel%E2%80%93Hamas_war_-_Bab-el-Mandeb.svg,Ecrusized / CC0
Sudan,Port Sudan,Port Sudan Lighthouse,egypt,port-sudan,8,images/landmarks/port-sudan-port-sudan-lighthouse.webp,https://commons.wikimedia.org/wiki/File:Egypt-IMG_0960.jpg,Michael Tyler / CC BY-SA 2.0
U.S. Virgin Islands,Charlotte Amalie,99 Steps,united kingdom,charlotte-amalie,2,images/landmarks/charlotte-amalie-99-steps.webp,https://commons.wikimedia.org/wiki/File:The_99_Steps_-_geograph.org.uk_-_7482245.jpg,S / CC BY-SA 2.0
UAE,Dubai,Palm Jumeirah,united arab emirates,dubai,3,images/landmarks/dubai-palm-jumeirah.webp,"https://commons.wikimedia.org/wiki/File:Artificial_Archipelagos,_Dubai,_United_Arab_Emirates_ISS022-E-024940_lrg_(cropped).jpg",Member of the Expedition 22 crew / Public domain
Zimbabwe,Victoria Falls,Victoria Falls (Mosi-oa-Tunya),zambia,victoria-falls,0,images/landmarks/victoria-falls-mosi-oa-tunya.webp,"https://commons.wikimedia.org/wiki/File:Cataratas_Victoria,_Zambia-Zimbabue,_2018-07-27,_DD_04.jpg",Diego Delso / CC BY-SA 4.0
Zimbabwe,Victoria Falls,Victoria Falls Bridge,zambia,victoria-falls,1,images/landmarks/victoria-falls-bridge.webp,"https://commons.wikimedia.org/wiki/File:Puente_de_las_cataratas_Victoria,_Zambia-Zimbabue,_2018-07-27,_DD_10.jpg",Diego Delso / CC BY-SA 4.0
