City,Item,Column,Old,New
Aachen,hero,City Photo File,images/cities/aachen.jpg,images/cities/aachen.webp
Aachen,Altstadt (Old Town),Hood 1 Photo File,,images/hoods/aachen--altstadt-old-town.webp
Aachen,Altstadt (Old Town),Hood 1 Photo Credit,,"https://commons.wikimedia.org/wiki/File:H%C3%BChnermarkt_19,_Aachen_(5).JPG"
Aachen,Bahnhofsviertel,Hood 2 Photo File,,images/hoods/aachen--bahnhofsviertel.webp
Aachen,Bahnhofsviertel,Hood 2 Photo Credit,,https://commons.wikimedia.org/wiki/File:Bahnhofsplatz_8.JPG
Aachen,Frankenberg,Hood 3 Photo File,,images/hoods/aachen--frankenberg.webp
Aachen,Frankenberg,Hood 3 Photo Credit,,https://commons.wikimedia.org/wiki/File:Burg_Frankenberg_-_panoramio_(1).jpg
Abha,hero,City Photo File,images/cities/abha.jpg,images/cities/abha.webp
Abha,hero,City Photo Credit,https://commons.wikimedia.org/wiki/File:Abha_city.png,https://commons.wikimedia.org/wiki/File:Abha_(51289579187).jpg
Abha,Al Soudah,Hood 3 Photo File,,images/hoods/abha--al-soudah.webp
Abha,Al Soudah,Hood 3 Photo Credit,,https://commons.wikimedia.org/wiki/File:%D8%AC%D8%A8%D9%84_%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A9.jpg
Abidjan,hero,City Photo File,images/cities/abidjan.jpg,images/cities/abidjan.webp
Abidjan,hero,City Photo Credit,https://en.wikipedia.org/wiki/File:Visite_du_mus%C3%A9e_de_civilisation_de_C%C3%B4te_d'Ivoire_08.jpg,https://commons.wikimedia.org/wiki/File:Abidjan_des_Lagune.jpg
Abidjan,Le Plateau,Hood 1 Photo File,,images/hoods/abidjan--le-plateau.webp
Abidjan,Le Plateau,Hood 1 Photo Credit,,https://commons.wikimedia.org/wiki/File:WikiConvFr23_en_cote_d%27Ivoire_grande_Mosqu%C3%A9e_du_plateau_%C3%A0_Abidjan_02.jpg
Abidjan,Cocody,Hood 2 Photo File,,images/hoods/abidjan--cocody.webp
Abidjan,Cocody,Hood 2 Photo Credit,,https://commons.wikimedia.org/wiki/File:Felix_Houphouet_Boigny_University_ap_001.JPG
Abidjan,Marcory (Zone 4),Hood 3 Photo File,,images/hoods/abidjan--marcory-zone-4.webp
Abidjan,Marcory (Zone 4),Hood 3 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Alyssa_K._Barry_Marcory,_Abidjan,_Ivory_Coast.jpg"
Abidjan,Riviera,Hood 4 Photo File,,images/hoods/abidjan--riviera.webp
Abidjan,Riviera,Hood 4 Photo Credit,,https://www.flickr.com/photos/22168167@N00/4017225203/
Abidjan,Port-Bouët (Airport area),Hood 5 Photo File,,images/hoods/abidjan--port-bouet-airport-area.webp
Abidjan,Port-Bouët (Airport area),Hood 5 Photo Credit,,https://commons.wikimedia.org/wiki/File:Entree_de_la_mairie_de_port_bouet.jpg
Abu Dhabi,hero,City Photo File,images/cities/abu-dhabi.jpg,images/cities/abu-dhabi.webp
Abu Dhabi,Al Reem Island,Hood 1 Photo File,images/hoods/abu-dhabi--al-reem-island.jpg,images/hoods/abu-dhabi--al-reem-island.webp
Abu Dhabi,Yas Island,Hood 2 Photo File,images/hoods/abu-dhabi--yas-island.jpg,images/hoods/abu-dhabi--yas-island.webp
Abu Dhabi,Saadiyat Island,Hood 3 Photo File,images/hoods/abu-dhabi--saadiyat-island.jpg,images/hoods/abu-dhabi--saadiyat-island.webp
Abu Dhabi,Saadiyat Island,Hood 3 Photo Credit,,Own photo (Never Roam Alone)
Abu Dhabi,Corniche,Hood 4 Photo File,images/hoods/abu-dhabi--corniche.jpg,images/hoods/abu-dhabi--corniche.webp
Abu Dhabi,Khalifa City,Hood 5 Photo File,,images/hoods/abu-dhabi--khalifa-city.webp
Abu Dhabi,Khalifa City,Hood 5 Photo Credit,,https://commons.wikimedia.org/wiki/File:Shaikh_Khalifa_Medical_City.jpg
Abuja,hero,City Photo File,images/cities/abuja.jpg,images/cities/abuja.webp
Abuja,hero,City Photo Credit,https://commons.wikimedia.org/wiki/File:Abuja_heritages_30.jpg,https://commons.wikimedia.org/wiki/File:AbujaNationalMosque.jpg
Abuja,Maitama,Hood 1 Photo File,,images/hoods/abuja--maitama.webp
Abuja,Maitama,Hood 1 Photo Credit,,https://commons.wikimedia.org/wiki/File:Abuja_hotel_view_(7955265376).jpg
Abuja,Wuse II,Hood 2 Photo File,,images/hoods/abuja--wuse-ii.webp
Abuja,Wuse II,Hood 2 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Embassy_of_Switzerland,_Abuja.jpg"
Abuja,Asokoro,Hood 3 Photo File,,images/hoods/abuja--asokoro.webp
Abuja,Asokoro,Hood 3 Photo Credit,,https://commons.wikimedia.org/wiki/File:Ecowas_Secretariat_(56815788).jpeg
Abuja,Garki,Hood 5 Photo File,,images/hoods/abuja--garki.webp
Abuja,Garki,Hood 5 Photo Credit,,https://commons.wikimedia.org/wiki/File:African_Child_Celebration_2024_at_Federal_Government_Boys_College_(FGBC)_Abuja_04.jpg
Acapulco de Juarez,hero,City Photo File,images/cities/acapulco-de-juarez.jpg,images/cities/acapulco-de-juarez.webp
Acapulco de Juarez,Zona Dorada (Costera),Hood 1 Photo File,,images/hoods/acapulco-de-juarez--zona-dorada-costera.webp
Acapulco de Juarez,Zona Dorada (Costera),Hood 1 Photo Credit,,https://commons.wikimedia.org/wiki/File:Costera_Miguel_Alem%C3%A1n_Acapulco_01.jpg
Acapulco de Juarez,Diamante,Hood 2 Photo File,,images/hoods/acapulco-de-juarez--diamante.webp
Acapulco de Juarez,Diamante,Hood 2 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Parroquia_de_San_Cipriano_y_San_Javier_(Diamante,_Entre_R%C3%ADos).jpg"
Acapulco de Juarez,Acapulco Tradicional (Centro / Caleta),Hood 3 Photo File,,images/hoods/acapulco-de-juarez--acapulco-tradicional-centro-caleta.webp
Acapulco de Juarez,Acapulco Tradicional (Centro / Caleta),Hood 3 Photo Credit,,https://www.flickr.com/photos/comefilm/24888169821/
Acapulco de Juarez,Puerto Marques,Hood 4 Photo File,,images/hoods/acapulco-de-juarez--puerto-marques.webp
Acapulco de Juarez,Puerto Marques,Hood 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:Bah%C3%ADa_de_Puerto_Marqu%C3%A9s_-_panoramio.jpg
Acapulco de Juarez,Pie de la Cuesta,Hood 5 Photo File,,images/hoods/acapulco-de-juarez--pie-de-la-cuesta.webp
Acapulco de Juarez,Pie de la Cuesta,Hood 5 Photo Credit,,"https://commons.wikimedia.org/wiki/File:Pie_de_la_Cuesta_en_Acapulco,_M%C3%A9xico.jpg"
