city,idx,name,img,w,h,ratio,page
luxembourg,1,Notre-Dame Cathedral,images/landmarks/luxembourg-notre-dame-cathedral.webp,485,1600,0.303,https://commons.wikimedia.org/wiki/File:Cathedral_of_Our_Lady_in_Luxembourg_City_06.jpg
riga,1,Freedom Monument,images/landmarks/riga-freedom-monument.webp,507,1600,0.317,https://commons.wikimedia.org/wiki/File:0875_LVA_Riga_freedom_monument_full.jpg
salerno,4,Via dei Mercanti,images/landmarks/salerno-via-dei-mercanti.webp,532,1600,0.333,"https://commons.wikimedia.org/wiki/File:Palazzo_Carrara,_palace_in_Salerno,_Italy.jpg"
rouen,0,Cathédrale Notre-Dame de Rouen (Rouen Cathedral),images/landmarks/rouen-cathedrale-notre-dame-de-rouen-rouen-cathedral.webp,624,1600,0.39,https://commons.wikimedia.org/wiki/File:Rouen_France_Cath%C3%A9drale-Notre-Dame-de-Rouen-01.jpg
new-york,0,Statue of Liberty,images/landmarks/new-york-statue-of-liberty.webp,646,1600,0.404,https://commons.wikimedia.org/wiki/File:Statue_of_Liberty_frontal_2.jpg
strasbourg,7,European Parliament (Louise Weiss Building),images/landmarks/strasbourg-european-parliament-louise-weiss-building.webp,666,1600,0.416,https://commons.wikimedia.org/wiki/File:Parlement_europ%C3%A9en_-_ext%C3%A9rieur_(Strasbourg).jpg
tours,0,Cathédrale Saint-Gatien,images/landmarks/tours-cathedrale-saint-gatien.webp,681,1600,0.426,https://commons.wikimedia.org/wiki/File:Tours_-_Cathédrale_Saint-Gatien_-_Exterior_-_15.jpg
santiago,1,Plaza de Armas,images/landmarks/santiago-cl-plaza-de-armas.webp,683,1600,0.427,https://commons.wikimedia.org/wiki/File:Plaza_de_Armas_de_Santiago_2017_c.jpg
new-york,1,Empire State Building,images/landmarks/new-york-empire-state-building.webp,687,1600,0.429,https://commons.wikimedia.org/wiki/File:Empire_State_Building_pano.jpg
pittsburgh,0,Cathedral of Learning,images/landmarks/pittsburgh-cathedral-of-learning.webp,696,1600,0.435,"https://commons.wikimedia.org/wiki/File:Cathedral_of_Learning,_Pittsburgh,_2020-02-24,_01.jpg"
berlin,2,Berlin TV Tower (Fernsehturm),images/landmarks/berlin-tv-tower-fernsehturm.webp,707,1600,0.442,https://en.wikipedia.org/wiki/Fernsehturm_Berlin
wurzburg,3,Würzburg Cathedral (Dom St. Kilian),images/landmarks/wurzburg-wurzburg-cathedral-dom-st-kilian.webp,715,1600,0.447,https://commons.wikimedia.org/wiki/File:Dom_Wuerzburg.jpg
vatican-city,9,Vatican Obelisk,images/landmarks/vatican-city-obelisk.webp,719,1600,0.449,https://commons.wikimedia.org/wiki/File:Obelisk_of_St._Peter.jpg
denpasar,1,Puputan Badung Square,images/landmarks/denpasar-puputan-badung-square.webp,720,1600,0.45,https://commons.wikimedia.org/wiki/File:Monumen_Puputan_Badung.jpg
mar-del-plata,5,Torre Tanque,images/landmarks/mar-del-plata-torre-tanque.webp,720,1600,0.45,https://commons.wikimedia.org/wiki/File:Torre_Tanque_Mar_del_Plata.jpg
new-orleans,2,St. Louis Cathedral,images/landmarks/new-orleans-st-louis-cathedral.webp,722,1600,0.451,https://commons.wikimedia.org/wiki/File:St._Louis_Cathedral_(New_Orleans)_10.jpg
oranjestad,0,Fort Zoutman & Willem III Tower,images/landmarks/oranjestad-fort-zoutman.webp,730,1600,0.456,"https://commons.wikimedia.org/wiki/File:Willem_III_tower,_Fort_Zoutman,_Oranjestad,_ARUBA.JPG"
hua-hin,2,Wat Huay Mongkol,images/landmarks/hua-hin-wat-huay-mongkol.webp,640,1386,0.462,https://commons.wikimedia.org/wiki/File:Wat_Huay_Mongkol_Giant_statue_of_famous_monk.jpg
tangier,0,Kasbah and Kasbah Museum (Dar el Makhzen),images/landmarks/tangier-kasbah-and-kasbah-museum-dar-el-makhzen.webp,739,1600,0.462,https://commons.wikimedia.org/wiki/File:Tangier_-_Dar_el_Makhzen_(Tangier)_-_20240929091120.jpg
ulm,6,Museum Ulm,images/landmarks/ulm-museum-ulm.webp,740,1600,0.463,https://commons.wikimedia.org/wiki/File:GER_—_BW_—_RPT_—_Ulm_—_Marktpl._9_—_(Ulmer_Museum)_—_Mattes_2022-03-13_Batch_(3).jpg
melbourne,6,Eureka Tower / Skydeck,images/landmarks/melbourne-eureka-tower-skydeck.webp,484,1036,0.467,"https://commons.wikimedia.org/wiki/File:Eureka_Tower,_August_2010.png"
puebla,1,Capilla del Rosario (Rosary Chapel),images/landmarks/puebla-capilla-del-rosario.webp,748,1600,0.468,https://commons.wikimedia.org/wiki/File:Capilla_del_Rosario_Puebla_Diciembre_2015.jpg
shanghai,6,Shanghai World Financial Center,images/landmarks/shanghai-shanghai-world-financial-center.webp,749,1600,0.468,https://commons.wikimedia.org/wiki/File:Shanghai_World_Financial_Center_(March_9th_2024)_(cropped2).jpg
pattaya-chonburi,7,Art in Paradise Pattaya,images/landmarks/pattaya-chonburi-art-in-paradise-pattaya.webp,754,1600,0.471,"https://commons.wikimedia.org/wiki/File:Art_In_Paradise,_Pattaya,_Thailand.png"
hebron,5,Tel Rumeida (Ancient Tel Hebron),images/landmarks/hebron-tel-rumeida.webp,758,1600,0.474,"https://commons.wikimedia.org/wiki/File:An_ancient_Roman_olive_tree_in_Tel_Rumeida_in_the_city_of_Hebron,_Palestine.jpg"
auckland,0,Sky Tower,images/landmarks/auckland-sky-tower.webp,764,1600,0.477,https://commons.wikimedia.org/wiki/File:Sky%20Tower%20Auckland%2001.jpg
pisa,0,Leaning Tower of Pisa,images/landmarks/pisa-leaning-tower-of-pisa.webp,765,1600,0.478,https://commons.wikimedia.org/wiki/File:Exterior_of_the_Leaning_Tower_(Pisa)_in_April_2024.jpg
shanghai,0,Oriental Pearl Tower,images/landmarks/shanghai-oriental-pearl-tower.webp,765,1600,0.478,https://commons.wikimedia.org/wiki/File:Oriental_Pearl_Tower_20251126.jpg
klaipeda,9,Central Post Office,images/landmarks/klaipeda-central-post-office.webp,770,1600,0.481,https://commons.wikimedia.org/wiki/File:Main_post_office_building_in_Klaipėda_01.jpg
zaragoza,6,Goya Museum,images/landmarks/zaragoza-goya-museum.webp,775,1600,0.484,https://commons.wikimedia.org/wiki/File:Casa_de_los_Pardo-Museo_Camon_Aznar.jpg
dusseldorf,0,Rheinturm,images/landmarks/dusseldorf-rheinturm.webp,778,1600,0.486,https://commons.wikimedia.org/wiki/File:Rheinturm_-_Gesamtansicht_vom_Medienhafen.jpg
