City,Column,Old,New
Aachen,Food 1 Photo File,,images/food/aachener-printen.webp
Aachen,Food 1 Photo Credit,,https://commons.wikimedia.org/wiki/File:Kraeuterprinten_1.jpg
Aachen,Food 2 Photo File,,images/food/sauerbraten-mit-rosinensosse.webp
Aachen,Food 2 Photo Credit,,https://www.flickr.com/photos/7927684@N03/7331360786
Aachen,Food 3 Photo File,,images/food/reibekuchen.webp
Aachen,Food 3 Photo Credit,,https://commons.wikimedia.org/wiki/File:Reibekuchen_mit_Apfelmus.jpg
Aachen,Food 4 Photo File,,images/food/puttes-aachener-blutwurst.webp
Aachen,Food 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:Flickr_stuart_spivack_173603796--Macaroni_and_cheese.jpg
Aachen,Food 6 Photo File,,images/food/poschweck.webp
Aachen,Food 6 Photo Credit,,https://commons.wikimedia.org/wiki/File:Poschweck.jpg
Aachen,Food 8 Photo File,,images/food/local-beer-and-kraeuterlikoer.webp
Aachen,Food 8 Photo Credit,,https://commons.wikimedia.org/w/index.php?curid=77376891
Abha,Hood 1 High-end Hotel,Blue Inn Boutique Hotel,Blue Inn Boutique Abha
Abha,Hood 1 Mid-range Hotel,Citadines Abha,Azd Hotel Abha
Abha,Hood 1 Budget Hotel,Boudl Abha,Abha Hotel
Abha,Hood 2 High-end Hotel,Braira Abha Hotel,Abha Palace Hotel
Abha,Hood 2 Mid-range Hotel,Al Muhaidb Residence Abha,Braira Abha Hotel
Abha,Hood 2 Budget Hotel,Nozol Al Bohaira Hotel Suites,Abha Gardn Millennium Hotel
Abha,Hood 3 Name,Al Soudah,Al Shifa
Abha,Hood 3 Vibe,sights,quiet
Abha,Hood 3 Description,"The high mountain zone of Al Soudah, home to Jabal Sawda (one of the Kingdom's highest peaks), a cable car, and cool cloud-forest scenery; suits nature lovers and summer visitors escaping the heat, though it sits above and outside the city proper.","An elevated residential district known for its viewpoints, fog, and panoramas over Abha; a quieter place to stay with sweeping vistas and a relaxed, local feel a short ride from downtown."
Abha,Hood 3 Landmark,"Jabal Sawda, Al Soudah, Abha","Al Shifa mountain, Abha"
Abha,Hood 3 Photo File,images/hoods/abha--al-soudah.webp,
Abha,Hood 3 Photo Credit,https://commons.wikimedia.org/wiki/File:%D8%AC%D8%A8%D9%84_%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A9.jpg,
Abha,Hood 3 Map Link,https://www.google.com/maps/search/?api=1&query=Al%20Soudah%2C%20Abha,https://www.google.com/maps/search/?api=1&query=Al%20Shifa%2C%20Abha
Abha,Hood 3 High-end Hotel,Braira Abha Hotel,Sarwat Park Hotel Abha
Abha,Hood 3 Mid-range Hotel,Citadines Abha,Al Muhaidb Residence Abha
Abha,Hood 3 Budget Hotel,Boudl Abha,Al Masif Serviced Apartments
Abha,Hood 4 Name,Al Shifa,Al Soudah
Abha,Hood 4 Description,"An elevated residential district known for its viewpoints, fog, and panoramas over Abha; a quieter place to stay with sweeping vistas and a relaxed, local feel a short ride from downtown.","The escarpment resort area about 22 km northwest of Abha and some 3,000 m up, where juniper forest, cloud and the Soudah cable car sit at the highest ground in Saudi Arabia. It is cool and often fogbound when Abha is warm, and holds a single bookable hotel, so it is a retreat rather than a base for sightseeing in town."
Abha,Hood 4 Landmark,"Al Shifa mountain, Abha","Soudah Park, Asir"
Abha,Hood 4 Photo File,,images/hoods/abha--al-soudah.webp
Abha,Hood 4 Photo Credit,,https://commons.wikimedia.org/wiki/File:%D8%AC%D8%A8%D9%84_%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A9.jpg
Abha,Hood 4 Map Link,https://www.google.com/maps/search/?api=1&query=Al%20Shifa%2C%20Abha,https://www.google.com/maps/search/?api=1&query=Al%20Soudah%2C%20Abha
Abha,Hood 4 High-end Hotel,Blue Inn Boutique Hotel,InterContinental Abha
Abha,Hood 4 Mid-range Hotel,Al Muhaidb Residence Abha,
Abha,Hood 4 Budget Hotel,Nozol Al Bohaira Hotel Suites,
Abha,Hood 5 Name,Rijal Almaa,
Abha,Hood 5 Vibe,sights,
