reason,country,city,landmark,slug,idx,img,page
wrong file type,Algeria,Constantine,Rhumel Gorges (Gorges du Rhumel),constantine,1,images/landmarks/constantine-rhumel-gorges.webp,"https://commons.wikimedia.org/wiki/File:ETH-BIB-Gorges_du_Rhumel,_Constantine_(Alg%C3%A9rie)._Grand_Arche_Naturelle-Dia_247-15072.tif"
"wrong file type; no word shared with landmark, city or country",Chad,N'Djamena,Cathédrale Notre-Dame de N'Djaména,n-djamena,4,images/landmarks/ndjamena-cathedrale-notre-dame.webp,"https://commons.wikimedia.org/wiki/File:ASC_Leiden_-_NSAG_-_van_Es_7_-_019_-_La_cath%C3%A9drale_moderne_avec_une_arche_pointue_-_N%27Djam%C3%A9na,_Tchad_-_7_janvier_1962.tif"
"wrong file type; no word shared with landmark, city or country",Costa Rica,Liberia,Africa Mia,liberia,7,images/landmarks/liberia-africa-mia.webp,https://commons.wikimedia.org/wiki/File:African_Repository_(IA_africanreposito4311amer_1).pdf
wrong file type,DR Congo,Goma,Mount Goma,goma,6,images/landmarks/goma-mount-goma.webp,https://commons.wikimedia.org/wiki/File:Battle_of_Goma.svg
wrong file type,Indonesia,Manado,Museum Negeri Sulawesi Utara,manado,6,images/landmarks/manado-museum-negeri-sulawesi-utara.webp,https://commons.wikimedia.org/wiki/File:Pameran_Museum_-_Museum_Negeri_Sulawesi_Utara.pdf
wrong file type,Mexico,Veracruz,Plaza de la Campana,veracruz,9,images/landmarks/veracruz-plaza-de-la-campana.webp,"https://commons.wikimedia.org/wiki/File:Diario_de_las_operaciones_de_la_expedicion_contra_la_Plaza_de_Panzacola_concluida_por_las_armas_de_S(u)_M(agestad)_Cat%C3%B3lica,_(IA_diariodelasopera00glve).pdf"
wrong file type; looks like a map,Montserrat,Brades,Oriole Walkway Trail (Centre Hills),brades,7,images/landmarks/brades-oriole-walkway-trail.webp,https://commons.wikimedia.org/wiki/File:Topographic-map-of-Montserrat-en.svg
wrong file type,Morocco,Casablanca,Casablanca Cathedral (Sacré-Cœur),casablanca,1,images/landmarks/casablanca-cathedral-sacre-coeur.webp,"https://commons.wikimedia.org/wiki/File:ETH-BIB-Casablanca,_Cath%C3%A9drale-Dia_247-09229_(cropped).tif"
wrong file type,Niger,Agadez,Kaocen Palace,agadez,3,images/landmarks/agadez-kaocen-palace.webp,"https://commons.wikimedia.org/wiki/File:ASC_Leiden_-_van_Achterberg_Collection_-_01_-_30_-_L%27ancien_palais_de_Kaocen_Ag_Mohammed_Wau_Teguidda,_aujourd%27hui_H%C3%B4tel_de_l%27Air_-_Agadez,_Niger,_novembre_1990_-_janvier_1991.tif"
wrong file type; looks like a logo,Saudi Arabia,Riyadh,Riyadh Zoo,riyadh,9,images/landmarks/riyadh-riyadh-zoo.webp,https://commons.wikimedia.org/wiki/File:Riyadh_Season_Logo.svg
"wrong file type; no word shared with landmark, city or country",Senegal,Ziguinchor,Place Jean-Paul II,ziguinchor,7,images/landmarks/ziguinchor-place-jean-paul-ii.webp,https://commons.wikimedia.org/wiki/File:Template-Bishop.svg
wrong file type,Sri Lanka,Trincomalee,Trincomalee Harbour,trincomalee,9,images/landmarks/trincomalee-trincomalee-harbour.webp,https://commons.wikimedia.org/wiki/File:Sri_Lanka_districts_Trincomalee.svg
wrong file type,Switzerland,Lausanne,Ouchy Waterfront,lausanne,2,images/landmarks/lausanne-ouchy-waterfront.webp,https://commons.wikimedia.org/wiki/File:ETH-BIB-Lausanne-Ouchy_v._O._aus_300_m-Inlandfl%C3%BCge-LBS_MH01-000233.tif
"wrong file type; no word shared with landmark, city or country",Trinidad and Tobago,Port of Spain,Lion House,port-of-spain,8,images/landmarks/port-of-spain-lion-house.webp,https://commons.wikimedia.org/wiki/File:Lev_vyskakujici.svg
