country,cityname,city,idx,name,reason
Afghanistan,Bamyan,bamyan,4,Dara-e Ajdahar (Dragon Valley),missing — no photo at all
Afghanistan,Bamyan,bamyan,5,Kakrak Valley Buddha Niche,missing — no photo at all
Afghanistan,Bamyan,bamyan,6,Foladi Valley Caves,missing — no photo at all
Afghanistan,Bamyan,bamyan,8,Bamyan Cliff Monastic Caves,missing — no photo at all
Algeria,Constantine,constantine,6,The Casbah and Souika old town,missing — no photo at all
Algeria,Constantine,constantine,8,Mellah Slimane footbridge (Passerelle Perrégaux),missing — no photo at all
Algeria,Djanet,djanet,5,Tin Merzouga Dune,missing — no photo at all
Algeria,Tamanrasset,tamanrasset,8,Maison de l'Artisanat,missing — no photo at all
Algeria,Timimoun,timimoun,1,Porte du Soudan (Sudan Gate),missing — no photo at all
Algeria,Timimoun,timimoun,2,Hôtel de l'Oasis Rouge,missing — no photo at all
Algeria,Timimoun,timimoun,6,Ksar Ouled Saïd,missing — no photo at all
Anguilla,The Valley,the-valley,1,St. Gerard's Roman Catholic Church,missing — no photo at all
Anguilla,The Valley,the-valley,3,Old Valley Well and Historic Village,missing — no photo at all
Anguilla,The Valley,the-valley,4,Ebenezer Methodist Church,missing — no photo at all
Anguilla,The Valley,the-valley,5,Fountain Cavern National Park,missing — no photo at all
Anguilla,The Valley,the-valley,7,Crocus Bay and Little Bay,missing — no photo at all
Anguilla,The Valley,the-valley,8,Big Spring Heritage Site (Island Harbour),missing — no photo at all
Argentina,Puerto Iguazú,puerto-iguazu,7,Jardín de los Picaflores,missing — no photo at all
Bangladesh,Cox's Bazar,cox-s-bazar,4,Aggmeda Khyang,missing — no photo at all
Bangladesh,Saint Martin's Island,saint-martin-s-island,1,West Beach,missing — no photo at all
Bangladesh,Saint Martin's Island,saint-martin-s-island,2,Coral Beach (East Beach),missing — no photo at all
Bangladesh,Saint Martin's Island,saint-martin-s-island,3,Shomudro Bilash (Humayun Ahmed's House),missing — no photo at all
Bangladesh,Saint Martin's Island,saint-martin-s-island,8,Dakhinpara (Southern Village),missing — no photo at all
Belize,Belize City,belize-city,7,Battlefield Park,missing — no photo at all
Belize,Belize City,belize-city,8,Image Factory Art Foundation,missing — no photo at all
Belize,Belize City,belize-city,9,Yarborough Cemetery,missing — no photo at all
Benin,Cotonou,cotonou,6,Cotonou Friendship Bridge (Pont du Novotel),missing — no photo at all
Benin,Cotonou,cotonou,8,Musée de la Fondation Zinsou Ouidah Route (Route des Esclaves gateway),missing — no photo at all
Benin,Porto-Novo,porto-novo,9,Marché International d'Ouando,missing — no photo at all
Bermuda,Hamilton,hamilton,3,Bermuda Underwater Exploration Institute (BUEI),missing — no photo at all
Bermuda,Hamilton,hamilton,8,Albuoy's Point and the Birdcage,missing — no photo at all
Bolivia,Santa Cruz de la Sierra,santa-cruz-de-la-sierra,7,Manzana Uno Espacio de Arte,missing — no photo at all
Bonaire,Kralendijk,kralendijk,8,Terramar Museum,missing — no photo at all
Botswana,Maun,maun,2,Chief's Island,missing — no photo at all
Botswana,Maun,maun,3,Nhabe Museum,missing — no photo at all
Botswana,Maun,maun,4,Maun Educational Park,missing — no photo at all
Botswana,Maun,maun,5,Old Matlapaneng Bridge,missing — no photo at all
Botswana,Maun,maun,7,Motsana Cultural Centre,missing — no photo at all
Botswana,Maun,maun,8,Maun Environmental Education Centre,missing — no photo at all
Botswana,Maun,maun,9,Boro-bonche Ostrich Farm,missing — no photo at all
Brazil,Foz do Iguaçu,foz-do-iguacu,8,Refúgio Biológico Bela Vista,missing — no photo at all
Brazil,Guarujá,guaruja,9,Mirante da Campina (Campina Hill Lookout),missing — no photo at all
Brazil,Maceió,maceio,4,Mirante da Sereia,missing — no photo at all
Brazil,Porto Seguro,porto-seguro,3,Memorial da Epopeia do Descobrimento,missing — no photo at all
British Virgin Islands,Road Town,road-town,1,J.R. O'Neal Botanic Gardens,missing — no photo at all
British Virgin Islands,Road Town,road-town,5,Callwood Rum Distillery,missing — no photo at all
British Virgin Islands,Road Town,road-town,6,Crafts Alive Village,missing — no photo at all
British Virgin Islands,Road Town,road-town,8,1780 Lower Estate Sugar Works Museum,missing — no photo at all
Brunei,Bandar Seri Begawan,bandar-seri-begawan,5,Brunei Museum,missing — no photo at all
Bulgaria,Varna,varna,6,Retro Museum,missing — no photo at all
Burkina Faso,Ouagadougou,ouagadougou,7,Moro-Naba Palace,missing — no photo at all
Cambodia,Battambang,battambang,8,Battambang Provincial Museum,missing — no photo at all
Cambodia,Sihanoukville,sihanoukville,3,Wat Leu (Upper Pagoda),missing — no photo at all
Canada,Kelowna,kelowna,5,Father Pandosy Mission,"reviewed, skipped — no usable candidate found"
Canada,Whistler,whistler,7,Train Wreck Trail,missing — no photo at all
Central African Republic,Bangui,bangui,6,Boganda National Museum,"reviewed, skipped — no usable candidate found"
Central African Republic,Bangui,bangui,7,PK5 Central Mosque,missing — no photo at all
Central African Republic,Bangui,bangui,8,Palais de la Renaissance (Presidential Palace),missing — no photo at all
Chile,Pucón,pucon,8,Salto El Claro,missing — no photo at all
Chile,Puerto Natales,puerto-natales,8,Estación de Ferrocarril de Puerto Natales,missing — no photo at all
China,Anshun,anshun,4,Yunfeng Tunpu (Eight Villages),missing — no photo at all
China,Anshun,anshun,6,Anshun Batik Museum,missing — no photo at all
China,Anshun,anshun,7,Guanling National Geopark,missing — no photo at all
China,Anshun,anshun,8,Hongshan Lake,missing — no photo at all
China,Beihai,beihai,3,Crocodile Mountain Scenic Area,missing — no photo at all
China,Beihai,beihai,4,Guantouling National Forest Park,missing — no photo at all
China,Beihai,beihai,5,Jinhaiwan Mangrove Ecological Zone,missing — no photo at all
China,Beihai,beihai,6,Beihai Underwater World,missing — no photo at all
China,Beihai,beihai,7,Beibu Gulf Square,missing — no photo at all
China,Beihai,beihai,8,Haibin Park (Beihai Seaside Park),missing — no photo at all
China,Chaozhou,chaozhou,9,Phoenix Mountain (Fenghuang Shan) Tea Country,missing — no photo at all
China,Enshi,enshi,3,Qingjiang River Cruise (Butterfly Cliff),missing — no photo at all
China,Enshi,enshi,5,Shiziguan Floating Bridge,missing — no photo at all
China,Enshi,enshi,8,Qingjiang Wind-Rain Bridge,missing — no photo at all
China,Enshi,enshi,9,Yumu Village (Yumuzhai),missing — no photo at all
China,Fenghuang,fenghuang,4,North Gate Tower (Bei Men),missing — no photo at all
China,Fenghuang,fenghuang,5,Former Residence of Shen Congwen,"reviewed, skipped — no usable candidate found"
China,Fenghuang,fenghuang,7,Longevity Palace (Wanshou Gong),missing — no photo at all
China,Fenghuang,fenghuang,8,Yang Family Ancestral Hall,missing — no photo at all
China,Harbin,harbin,8,Volga Manor,missing — no photo at all
China,Jianshui,jianshui,9,Zitao Street (Purple Pottery Street),missing — no photo at all
China,Jingdezhen,jingdezhen,5,Sanbao Ceramic Art Village,missing — no photo at all
China,Jingdezhen,jingdezhen,8,Taoyangli Historic District,missing — no photo at all
China,Kangding,kangding,7,Erdaoqiao Hot Springs,missing — no photo at all
China,Kangding,kangding,8,Kangding Old Town and Zheduo River Squares,missing — no photo at all
China,Kashgar,kashgar,7,Mor Pagoda (Mo'er Buddhist Stupa),missing — no photo at all
China,Leshan,leshan,2,Jiuqu Plank Road,missing — no photo at all
China,Leshan,leshan,7,Zhanggongqiao Food Street,missing — no photo at all
China,Leshan,leshan,9,Laoxiaoding,missing — no photo at all
China,Lijiang,lijiang,3,Wangu Tower on Lion Hill,missing — no photo at all
China,Lijiang,lijiang,8,Big Water Wheel,missing — no photo at all
China,Luoyang,luoyang,3,Lijing Gate and Luoyang Old Town,missing — no photo at all
China,Manzhouli,manzhouli,3,Mammoth Park (Zhalainuoer),missing — no photo at all
China,Qinhuangdao,qinhuangdao,5,Pigeon Nest Park (Gezhenwo),missing — no photo at all
China,Qinhuangdao,qinhuangdao,6,Beidaihe Wetlands and Bird Sanctuary,missing — no photo at all
China,Qinhuangdao,qinhuangdao,8,Xin'ao Undersea World,missing — no photo at all
China,Qinhuangdao,qinhuangdao,9,Qinhuang Qiuxian Ruhai Chu (Emperor Qin's Departure Point),missing — no photo at all
China,Shangri-La,shangri-la,6,Dabao Temple (Dabaosi),missing — no photo at all
China,Shangri-La,shangri-la,8,Gucheng Zangjingtang,missing — no photo at all
China,Shangri-La,shangri-la,9,Zhongxin Assembly Hall,missing — no photo at all
China,Wuyishan,wuyishan,8,Impression Da Hong Pao,missing — no photo at all
China,Zhangye,zhangye,5,Zhangye National Wetland Park,missing — no photo at all
China,Zhangye,zhangye,6,Pingshanhu Grand Canyon,missing — no photo at all
China,Zhaoqing,zhaoqing,8,Licha Bagua Village,missing — no photo at all
China,Zhaoqing,zhaoqing,9,China Inkstone Culture Village (Baishi),missing — no photo at all
China,Zhoushan,zhoushan,8,Dinghai Ancient City,missing — no photo at all
China,Zhuhai,zhuhai,4,Qi'ao Island Mangrove Wetland,missing — no photo at all
China,Zhuhai,zhuhai,7,Jida Fisherman's Wharf,missing — no photo at all
Colombia,Leticia,leticia,2,Mundo Amazónico Ethnobotanical Park,missing — no photo at all
Colombia,Leticia,leticia,5,Catedral Nuestra Señora de la Paz,missing — no photo at all
Colombia,Leticia,leticia,7,Acuarios Etuena,missing — no photo at all
Colombia,Leticia,leticia,8,Yahuarcaca Lakes,missing — no photo at all
