city,idx,name,current_img,current,current_ratio,tier,proposed_file,proposed,proposed_ratio,alternates
luxembourg,1,Notre-Dame Cathedral,images/landmarks/luxembourg-notre-dame-cathedral.webp,485x1600,0.303,good,File:Adolphe Bridge over the valley of Petrusse in Luxembourg City.jpg,6000x4000,1.5,File:Exterior of Luxembourg City railway station 20180627.jpg | File:20180901 Luxembourg railway station.jpg | File:Grand Ducal Palace (Luxembourg) 20180627.jpg
riga,1,Freedom Monument,images/landmarks/riga-freedom-monument.webp,507x1600,0.317,strong,File:Honour guard at The Freedom Monument IMG 2415 C.JPG,4272x2848,1.5,File:Freedom Monument Latvia 11.jpg | File:Freedom Monument Latvia 13.jpg | File:Freedom Monument (Brivibas Piemineklis) (2).JPG
rouen,0,Cathédrale Notre-Dame de Rouen (Rouen Cathedral),images/landmarks/rouen-cathedrale-notre-dame-de-rouen-rouen-cathedral.webp,624x1600,0.39,strong,File:Rouen (76) Cathédrale Notre-Dame Vitraux 211.jpg,7728x5152,1.5,
new-york,0,Statue of Liberty,images/landmarks/new-york-statue-of-liberty.webp,646x1600,0.404,strong,"File:1 New York, Statue of Liberty.jpg",3803x2137,1.78,"File:Fire boat new york harbor fdny statue of liberty.jpg | File:0326New York City Statue of Liberty.JPG | File:2 New York, Statue of Liberty.jpg"
strasbourg,7,European Parliament (Louise Weiss Building),images/landmarks/strasbourg-european-parliament-louise-weiss-building.webp,666x1600,0.416,weak,File:Orange the World Parliament stands against rape (49123424842).jpg,1618x1079,1.5,File:14-02-06-Parlement-européen-Strasbourg-RalfR-115.jpg | File:14-02-06-Parlement-européen-Strasbourg-RalfR-117.jpg | File:14-02-06-Parlement-européen-Strasbourg-RalfR-119.jpg
tours,0,Cathédrale Saint-Gatien,images/landmarks/tours-cathedrale-saint-gatien.webp,681x1600,0.426,strong,File:Tours - Cathédrale Saint-Gatien - Exterior - 14.jpg,6298x4198,1.5,File:Tours - Cathédrale Saint-Gatien.jpg | File:Tours - Cathédrale Saint-Gatien - Exterior - 16.jpg | File:Tours - Cathédrale Saint-Gatien - Exterior - 02.jpg
santiago,1,Plaza de Armas,images/landmarks/santiago-cl-plaza-de-armas.webp,683x1600,0.427,strong,"File:J24 705 Plaza de Armas, catedrál.jpg",5850x3900,1.5,"File:Catedral de Santiago de Chile na náměstí Plaza de Armas - panoramio.jpg | File:J27 852 Santiago de Chile, Plaza de Armas.jpg | File:J25 291e Plaza de Armas, catedral metropolitana.jpg"
new-york,1,Empire State Building,images/landmarks/new-york-empire-state-building.webp,687x1600,0.429,strong,File:Empire State Building - New York.jpg,4608x3072,1.5,File:Empire State Building (6853503067).jpg | File:Empire State Building (30371635731).jpg | File:Empire State Building - Sunset.jpg
pittsburgh,0,Cathedral of Learning,images/landmarks/pittsburgh-cathedral-of-learning.webp,696x1600,0.435,strong,File:Cathedral of Learning Pittsburgh (3).jpg,4608x3072,1.5,"File:Cathedral of Learning Pittsburgh (2).jpg | File:Cathedral of Learning blue sky cloud.jpg | File:Cathedral of Learning and Carnegie, Oakland, Pittsburgh, 2015-03-30.jpg"
berlin,2,Berlin TV Tower (Fernsehturm),images/landmarks/berlin-tv-tower-fernsehturm.webp,707x1600,0.442,strong,"File:Fernsehturm, Berlín, Alemania, 2016-04-21, DD 40-42 HDR.jpg",7394x4845,1.526,"File:Fernsehturm und Bode-Museum bei Sonnenaufgang, Berlin-Mitte, 151011, ako.jpg | File:View Berlin TV Tower Jan2015 img4.jpg | File:Berliner Dom und Fernsehturm, 170117, ako.jpg"
